Time,Temperature
2025-05-07 23:40:58,26.12
2025-05-07 23:40:59,26.12
2025-05-07 23:41:58,26.12
2025-05-07 23:46:56,26.19
2025-05-07 23:51:56,26.25
2025-05-07 23:56:56,26.19
2025-05-08 00:01:56,26.25
2025-05-08 00:06:56,26.31
2025-05-08 00:11:56,26.31
2025-05-08 00:13:03,26.37
2025-05-08 00:16:12,26.37
2025-05-08 00:21:09,26.31
2025-05-08 00:26:09,26.25
2025-05-08 00:31:09,26.19
2025-05-08 00:36:09,26.19
2025-05-08 00:37:50,26.19
2025-05-08 00:40:09,26.19
2025-05-08 00:45:05,26.50
2025-05-08 00:50:05,26.81
2025-05-08 00:55:05,26.75
2025-05-08 01:00:05,26.50
2025-05-08 01:05:05,26.37
2025-05-08 01:10:05,26.31
2025-05-08 01:15:05,26.25
2025-05-08 01:20:05,26.25
2025-05-08 01:25:05,26.19
2025-05-08 01:30:05,26.19
2025-05-08 01:35:05,26.12
2025-05-08 01:40:05,26.12
2025-05-08 01:45:05,26.06
2025-05-08 01:50:05,26.06
2025-05-08 01:55:05,26.06
2025-05-08 02:00:05,26.06
2025-05-08 02:05:05,26.06
2025-05-08 02:10:05,26.00
2025-05-08 02:15:05,26.00
2025-05-08 02:20:05,26.00
2025-05-08 02:25:05,25.94
2025-05-08 02:30:05,25.94
2025-05-08 02:35:05,25.94
2025-05-08 02:40:05,25.94
2025-05-08 02:45:05,25.94
2025-05-08 02:50:05,25.87
2025-05-08 02:55:05,25.87
2025-05-08 03:00:05,25.87
2025-05-08 03:05:05,25.87
2025-05-08 03:10:05,25.87
2025-05-08 03:15:05,25.87
2025-05-08 03:20:05,25.81
2025-05-08 03:25:05,25.81
2025-05-08 03:30:05,25.81
2025-05-08 03:35:05,25.75
2025-05-08 03:40:05,25.75
2025-05-08 03:45:05,25.75
2025-05-08 03:50:05,25.75
2025-05-08 03:55:05,25.69
2025-05-08 04:00:05,25.69
2025-05-08 04:05:05,25.69
2025-05-08 04:10:05,25.62
2025-05-08 04:15:05,25.62
2025-05-08 04:20:05,25.62
2025-05-08 04:25:05,25.62
2025-05-08 04:30:05,25.62
2025-05-08 04:35:05,25.56
2025-05-08 04:40:05,25.56
2025-05-08 04:45:05,25.56
2025-05-08 04:50:05,25.50
2025-05-08 04:55:05,25.50
2025-05-08 05:00:05,25.50
2025-05-08 05:05:05,25.50
2025-05-08 05:10:05,25.50
2025-05-08 05:15:05,25.50
2025-05-08 05:20:05,25.50
2025-05-08 05:25:05,25.44
2025-05-08 05:30:05,25.44
2025-05-08 05:35:05,25.44
2025-05-08 05:40:05,25.44
2025-05-08 05:45:05,25.44
2025-05-08 05:50:05,25.44
2025-05-08 05:55:05,25.44
2025-05-08 06:00:05,25.44
2025-05-08 06:05:05,25.44
2025-05-08 06:10:05,22.44
2025-05-08 06:15:05,21.44
2025-05-08 06:20:05,21.06
2025-05-08 06:25:05,20.87
2025-05-08 06:30:05,23.25
2025-05-08 06:35:05,24.37
2025-05-08 07:52:29,22.19
2025-05-08 07:53:37,22.31
2025-05-08 07:58:34,22.44
2025-05-08 10:28:54,23.94
2025-05-08 10:30:10,23.94
2025-05-08 10:34:59,24.00
2025-05-08 10:36:40,23.94
2025-05-08 10:37:25,23.94
2025-05-08 10:39:10,23.06
2025-05-08 10:43:14,22.94
2025-05-08 10:44:04,22.87
2025-05-08 10:47:51,22.94
2025-05-08 10:51:02,22.81
2025-05-08 10:53:48,22.81
2025-05-08 10:58:48,22.69
2025-05-08 11:03:48,22.69
2025-05-08 11:07:41,22.50
2025-05-08 11:12:38,22.62
2025-05-08 11:18:49,22.56
2025-05-08 11:18:50,22.56
2025-05-08 11:23:50,23.06
2025-05-08 11:27:07,23.12
2025-05-08 11:32:02,23.19
2025-05-08 11:37:02,23.25
2025-05-08 11:42:02,23.31
2025-05-08 11:47:02,24.50
2025-05-08 11:52:02,24.56
2025-05-08 11:57:02,23.25
2025-05-08 12:02:02,23.00
2025-05-08 12:02:38,23.19
2025-05-08 12:04:14,23.50
2025-05-08 12:07:51,23.50
2025-05-08 12:09:08,23.62
2025-05-08 12:12:38,23.25
2025-05-08 12:14:34,23.44
2025-05-08 12:18:45,23.37
2025-05-08 12:23:45,23.44
2025-05-08 12:26:50,23.19
2025-05-08 12:31:45,23.87
2025-05-08 12:36:45,24.56
2025-05-08 12:38:37,24.56
2025-05-08 12:42:21,24.50
2025-05-08 12:47:16,24.56
2025-05-08 12:52:16,24.75
2025-05-08 12:57:16,24.87
2025-05-08 13:02:16,24.75
2025-05-08 13:06:18,24.87
2025-05-08 13:11:14,25.00
2025-05-08 13:16:14,24.94
2025-05-08 13:19:59,24.87
2025-05-08 13:24:55,24.75
2025-05-08 13:25:23,24.69
2025-05-08 13:30:18,24.69
2025-05-08 13:30:26,24.69
2025-05-08 13:35:23,24.19
2025-05-08 13:40:23,24.31
2025-05-08 13:45:23,24.12
2025-05-08 13:46:31,24.00
2025-05-08 13:51:26,24.19
2025-05-08 13:56:07,24.25
2025-05-08 14:01:06,24.31
2025-05-08 14:02:51,24.25
2025-05-08 14:06:46,24.00
2025-05-08 14:08:59,24.00
2025-05-08 14:11:32,24.25
2025-05-08 14:13:07,24.19
2025-05-08 14:15:49,24.00
2025-05-08 14:16:20,24.00
2025-05-08 14:17:07,23.94
2025-05-08 14:17:18,24.00
2025-05-08 14:17:35,24.00
2025-05-08 14:22:34,24.00
2025-05-08 14:27:16,24.00
2025-05-08 14:27:32,24.00
2025-05-08 14:27:48,24.00
2025-05-08 14:28:31,24.00
2025-05-08 14:33:27,24.12
2025-05-08 14:38:27,24.37
2025-05-08 14:43:27,23.94
2025-05-08 14:48:27,23.56
2025-05-08 14:53:27,23.44
2025-05-08 14:54:46,23.44
